Entry Text File Format Version: 1.0
_HISTORY.TXT( HISTORY OF EXECUTION )
_Backup at 2024/10/15 08:48:24
( 100449)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100472)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100482)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100450)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100415)   1.INPUT ENET1,V1%,0.1,1
( 100550)   1.INPUT ENET1,V1%,0.1,1
( 100545)   1.INPUT ENET1,V1%,0.1,1
( 100412)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100517)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100402)   1.INPUT ENET1,V1%,0.1,1
( 100529)   1.INPUT ENET1,V1%,0.1,1
( 100433)   1.INPUT ENET1,V1%,0.1,1
( 100493)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100472)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100477)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100510)   1.INPUT ENET1,V1%,0.1,1
( 100492)   1.INPUT ENET1,V1%,0.1,1
( 100471)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100491)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100493)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100482)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100443)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100488)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100448)   1.INPUT ENET1,V1%,0.1,1
( 100487)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100438)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100513)   1.INPUT ENET1,V1%,0.1,1
( 100462)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100510)   1.INPUT ENET1,V1%,0.1,1
( 100443)   1.INPUT ENET1,V1%,0.1,1
( 100512)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100505)   1.INPUT ENET1,V1%,0.1,1
( 100433)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100519)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100421)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100500)   1.INPUT ENET1,V1%,0.1,1
(   4467)INPUT received:[3]
(     51)   1.INPUT ENET1,V1%,0.1,1
(    203)    .IF V1%=2 THEN
(    796)    .ELSEIF V1%=3 THEN
(    341)    .CALL 13 'cut
(     81)====.|Start 0013.JOB
(   3932)    .|OnLTrack OFF
(    200)    .|PRINT ENET1,"cut_complete"
(    262)    .|CALL 3 'onltrack on
(     86)====.||Start 0003.JOB
(    155)    .||OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    194)    .||LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    693)    .||LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    311)    .||END
(     95)----.|{Return(P:3->P:13/S0/F3)}
(    151)    .|V1%=0
(    197)    .|END
(     47)----.{Return(P:13->P:1/S1/F9)}
(    193)    .ELSEIF V1%=4 THEN
(    153)    .ENDIF
(    159)    .GOTO 1
(   5151)_____[ PlyStopActionProcess() ]
(    339)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     79)MotStateBackup [41,02,41,02,0E,02]
(     67)iMPTestStateBackup [03,02,01,03,02,01]
(     81)_____{Error:E00159(2)} 
(   1284)AutoBackupForEvent
(     42)ull_CmdManagerISR_Time=482
(     46)ull_MainISR_Time=2585856343
( 120766)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     82)MotStateBackup [41,02,41,02,41,02]
(     66)iMPTestStateBackup [03,02,01,03,02,01]
(     82)_____{Error:E00159(3)} 
(   1275)AutoBackupForEvent
(     42)ull_CmdManagerISR_Time=494
(  78035)ull_MainISR_Time=2586058654
(   3332)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(    664)MotStateBackup [41,02,41,02,41,02]
(     67)iMPTestStateBackup [03,02,01,03,02,01]
(     83)_____{Error:E00159(5)} 
(    804)AutoBackupForEvent
(     40)ull_CmdManagerISR_Time=534
(     47)ull_MainISR_Time=2586061952
(=Stamp=)[2024/10/15 08:44:54](10242557)  
(     69)Operation mode has been changed to TEACH!
(=Stamp=)[2024/10/15 08:45:08](13017033)  
(     67)Operation mode has been changed to AUTO!
(   5096)Set_StepSetAlarm!!!!
(     41)Cur(0): ProgNo=1, StepNo=1, FuncNo=0
(    107)Mov(0): ProgNo=1, StepNo=1, FuncNo=5
(    268)BD530CANData [CC,11,00,00,F8,AA,03,F9,F0,00,66,00]
(     81)MotStateBackup [01,29,04,3D,09,02]
(     66)iMPTestStateBackup [03,02,01,03,02,01]
(     81)_____{Error:W00174(0)} 
(   1108)AutoBackupForEvent
(=Stamp=)[2024/10/15 08:46:05](57502823)  
(     68)Operation mode has been changed to TEACH!
(3199628)_____[START:StepFwd]__(P1/S1./F0)___
(1165558)_____[STOP by key]
( 507918)_____[START:StepFwd]__(P1/S1./F0)___
(2753075)_____[STOP by key]
(5928339)_____[START:StepFwd]__(P1/S1./F0)___
(1602149)_____[STOP by key]
(3733265)_____[START:StepFwd]__(P1/S1./F0)___
( 557198)_____[STOP by key]
( 673302)_____[START:StepFwd]__(P1/S1./F0)___
(3004228)_____[STOP by key]
(2270939)_____[START:StepFwd]__(P1/S1./F0)___
( 462325)StepGoBackResumeClear-------
(     58)>>>> Adjust PSF in [lTask:0]____________
(     63)ChangeExecPsf4StartAtChangedPSF:(P1/S1/F0)
(    537)Old:CallStack[R0/M0],1(P1/S1/F9)
(     55)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     73)Cleared by changing SF_____
(     51)Old:CallStack[R0/M0],1(P1/S1/F9)
(     55)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(    215)New:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(    115)New:CallStack[R0/M0]
(     39)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(     60)New:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(     74)New:CallStack[R0/M0],1(P1/S1/F9)
(     52)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(   3974)S1  >MOVE P,P1,S=5%,A=3,T=0
(1170043)S1  .MOVE P,P1,S=5%,A=3,T=0
(    107)_____[STOP for CmdMode]
(=Stamp=)[2024/10/15 08:46:48](15881110)  
(     72)_____[START:StepFwd]__(P1/S0./F1)___
( 673019)_____[STOP by key]
(=Stamp=)[2024/10/15 08:47:03](13896207)  
(    106)_____[START:StepFwd]__(P1/S1./F0)___
(    387)Path Recovery!!!
(   4269)     Target Recovery Start(Step:1)
(     82)PT0=[0.3550, 64.4807, -31.8274, 4.1438, 52.4995, -2.6183]
( 779449)_____[STOP by key]
(=Stamp=)[2024/10/15 08:47:35](31524822)  
(    485)>>>> Adjust PSF in [lTask:0]____________
(     63)ChangeExecPsfInfoOnModify:(P1/S1/F0)
(     57)Old:CallStack[R0/M0],1(P1/S1/F9)
(     55)Old:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(     72)---->:: RunningPC=MovingPC
(     46)clear:: Move, StepInfo,StepCmdStr,OutTable,ExecMark
(    128)New:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(     74)New:CallStack[R0/M0],1(P1/S1/F9)
(     96)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(2209438)>>>> Adjust PSF in [lTask:0]____________
(    487)ChangeExecPsfInfoOnModify:(P1/S1/F0)
(     58)Old:CallStack[R0/M0],1(P1/S1/F9)
(     55)Old:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(     72)---->:: RunningPC=MovingPC
(     46)clear:: Move, StepInfo,StepCmdStr,OutTable,ExecMark
(    127)New:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(     74)New:CallStack[R0/M0],1(P1/S1/F9)
(     52)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(2661504)Operation mode has been changed to AUTO!
(6872834)_____[START by Internal]
(   5565)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     80)MotStateBackup [02,07,03,05,0A,28]
(     67)iMPTestStateBackup [09,02,01,03,02,01]
(   4166)_____[START]__________(P1/S0-/F0)___
(     76)>>>> Adjust PSF in [lTask:0]____________
(     63)ChangeExecPsf4StartAtChangedPSF:(P1/S0/F0)
(     63)Old:CallStack[R0/M0],1(P1/S1/F9)
(     56)Old:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(     72)Cleared by changing SF_____
(    442)Old:CallStack[R0/M0],1(P1/S1/F9)
(     57)Old:Moving_PSF=(P1/S1/F0), RunningPSF=(P1/S1/F0)
(    196)New:Moving_PSF=(P1/S0/F0), RunningPSF=(P1/S0/F0)
(     71)New:CallStack[R0/M0]
(     39)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(     59)New:Moving_PSF=(P1/S0/F0), RunningPSF=(P1/S0/F0)
(     74)New:CallStack[R0/M0],1(P1/S1/F9)
(     52)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(    329)====.Start 0001.JOB
(    163)    .V1%=0
(    201)S1  >MOVE P,(0.373,66.433,-35.118,4.085,
(   8365)    .CALL 2 'enet1
(    574)====.|Start 0002.JOB
(    160)    .|ENET1.IP="192.168.0.54"
(    156)    .|ENET1.LPORT=6666
(    146)    .|ENET1.RPORT=7777
(    302)    .|ENET1.OPEN 1
(    162)    .|CLR_RBUF ENET1
(    202)    .|END
(     44)----.{Return(P:2->P:1/S1/F1)}
(   8044)S1  .MOVE P,(0.373,66.433,-35.118,4.085,
(2009482)    .DELAY 2
(    238)    .CALL 3 'onltrack on
(     86)====.|Start 0003.JOB
(    562)    .|OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    194)    .|LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    213)    .|LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    284)    .|END
(     47)----.{Return(P:3->P:1/S1/F3)}
(    200)    .PRINT ENET1,"init"
(  98732)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100445)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100532)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100505)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100429)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100529)   1.INPUT ENET1,V1%,0.1,1
( 100462)   1.INPUT ENET1,V1%,0.1,1
( 100449)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100522)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100483)   1.INPUT ENET1,V1%,0.1,1
( 100493)   1.INPUT ENET1,V1%,0.1,1
( 100483)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100496)   1.INPUT ENET1,V1%,0.1,1
( 100500)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100530)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100491)   1.INPUT ENET1,V1%,0.1,1
( 100436)   1.INPUT ENET1,V1%,0.1,1
( 100470)   1.INPUT ENET1,V1%,0.1,1
( 100526)   1.INPUT ENET1,V1%,0.1,1
( 100470)   1.INPUT ENET1,V1%,0.1,1
( 100490)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100535)   1.INPUT ENET1,V1%,0.1,1
( 100402)   1.INPUT ENET1,V1%,0.1,1
( 100477)   1.INPUT ENET1,V1%,0.1,1
( 100558)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100477)   1.INPUT ENET1,V1%,0.1,1
( 100553)   1.INPUT ENET1,V1%,0.1,1
( 100431)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100505)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100503)   1.INPUT ENET1,V1%,0.1,1
( 100438)   1.INPUT ENET1,V1%,0.1,1
( 100488)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100461)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100466)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100476)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100431)   1.INPUT ENET1,V1%,0.1,1
( 100521)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100508)   1.INPUT ENET1,V1%,0.1,1
( 100519)   1.INPUT ENET1,V1%,0.1,1
( 100406)   1.INPUT ENET1,V1%,0.1,1
( 100483)   1.INPUT ENET1,V1%,0.1,1
( 100540)   1.INPUT ENET1,V1%,0.1,1
( 100443)   1.INPUT ENET1,V1%,0.1,1
( 100456)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100515)   1.INPUT ENET1,V1%,0.1,1
( 100492)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100502)   1.INPUT ENET1,V1%,0.1,1
( 100482)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100473)   1.INPUT ENET1,V1%,0.1,1
( 100473)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100491)   1.INPUT ENET1,V1%,0.1,1
( 100428)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100436)   1.INPUT ENET1,V1%,0.1,1
( 100514)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100532)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100466)   1.INPUT ENET1,V1%,0.1,1
( 100461)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100449)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100510)   1.INPUT ENET1,V1%,0.1,1
( 100406)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100558)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100463)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100439)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100541)   1.INPUT ENET1,V1%,0.1,1
( 100418)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100491)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100488)   1.INPUT ENET1,V1%,0.1,1
( 100419)   1.INPUT ENET1,V1%,0.1,1
( 100523)   1.INPUT ENET1,V1%,0.1,1
( 100488)   1.INPUT ENET1,V1%,0.1,1
( 100421)   1.INPUT ENET1,V1%,0.1,1
( 100519)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100505)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100449)   1.INPUT ENET1,V1%,0.1,1
( 100516)   1.INPUT ENET1,V1%,0.1,1
( 100528)   1.INPUT ENET1,V1%,0.1,1
( 100402)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100474)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100438)   1.INPUT ENET1,V1%,0.1,1
( 100537)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100468)   1.INPUT ENET1,V1%,0.1,1
( 100435)   1.INPUT ENET1,V1%,0.1,1
( 100522)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100470)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100538)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100473)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100517)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100476)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100503)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100442)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100500)   1.INPUT ENET1,V1%,0.1,1
( 100515)   1.INPUT ENET1,V1%,0.1,1
( 100445)   1.INPUT ENET1,V1%,0.1,1
( 100446)   1.INPUT ENET1,V1%,0.1,1
( 100505)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100467)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100496)   1.INPUT ENET1,V1%,0.1,1
( 100519)   1.INPUT ENET1,V1%,0.1,1
( 100418)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100448)   1.INPUT ENET1,V1%,0.1,1
( 100527)   1.INPUT ENET1,V1%,0.1,1
( 100456)   1.INPUT ENET1,V1%,0.1,1
( 100482)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100474)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100487)   1.INPUT ENET1,V1%,0.1,1
( 100463)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100470)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100495)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100446)   1.INPUT ENET1,V1%,0.1,1
( 100500)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100433)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100563)   1.INPUT ENET1,V1%,0.1,1
( 100416)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100508)   1.INPUT ENET1,V1%,0.1,1
( 100493)   1.INPUT ENET1,V1%,0.1,1
( 100463)   1.INPUT ENET1,V1%,0.1,1
( 100451)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100502)   1.INPUT ENET1,V1%,0.1,1
( 100514)   1.INPUT ENET1,V1%,0.1,1
( 100421)   1.INPUT ENET1,V1%,0.1,1
( 100490)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100462)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100488)   1.INPUT ENET1,V1%,0.1,1
( 100447)   1.INPUT ENET1,V1%,0.1,1
( 100523)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100492)   1.INPUT ENET1,V1%,0.1,1
( 100440)   1.INPUT ENET1,V1%,0.1,1
( 100476)   1.INPUT ENET1,V1%,0.1,1
( 100512)   1.INPUT ENET1,V1%,0.1,1
( 100517)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100495)   1.INPUT ENET1,V1%,0.1,1
( 100492)   1.INPUT ENET1,V1%,0.1,1
( 100500)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100456)   1.INPUT ENET1,V1%,0.1,1
( 100503)   1.INPUT ENET1,V1%,0.1,1
( 100470)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100516)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100429)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
(  35730)INPUT received:[3]
(     51)   1.INPUT ENET1,V1%,0.1,1
(    401)    .IF V1%=2 THEN
(    163)    .ELSEIF V1%=3 THEN
(    934)    .CALL 13 'cut
(     82)====.|Start 0013.JOB
(   2876)    .|OnLTrack OFF
(    201)    .|PRINT ENET1,"cut_complete"
(    701)    .|CALL 3 'onltrack on
(     86)====.||Start 0003.JOB
(    157)    .||OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    241)    .||LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    236)    .||LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    310)    .||END
(     49)----.|{Return(P:3->P:13/S0/F3)}
(    150)    .|V1%=0
(    196)    .|END
(    501)----.{Return(P:13->P:1/S1/F9)}
